"Name", Height (Inches), Height(Feet-Inches), Weight
"Larry Stewart", 80, 6-8, 220
"John Stockton", 73, 6-1, 170
"Rod Strickland", 75, 6-3, 175
"Derek Strong", 80, 6-8, 220
"Lamont Strothers", 76, 6-4, 190
"Jon Sundvold", 74, 6-2, 170
"Greg Sutton", 74, 6-2, 170
"Terry Teagle", 77, 6-5, 195
"Carl Thomas", 76, 6-4, 175
"Charles Thomas", 75, 6-3, 175
"Isiah Thomas", 73, 6-1, 180
"Billy Thompson", 79, 6-7, 195
"LaSalle Thompson", 82, 6-10, 245
"Stephen Thompson", 76, 6-4, 185
"Bob Thornton", 82, 6-10, 225
"Otis Thorpe", 81, 6-9, 225
"Sedale Threatt", 74, 6-2, 175
"Wayman Tisdale", 81, 6-9, 240
"Tom Tolbert", 79, 6-7, 235
"Trent Tucker", 77, 6-5, 193
"Andre Turner", 71, 5-11, 160
"Jeff Turner", 81, 6-9, 230
"John Turner", 80, 6-8, 245
"Kiki Vandeweghe", 80, 6-8, 220
"Loy Vaught", 81, 6-9, 230
"Joao Vianna", 81, 6-9, 215
"Sam Vincent", 74, 6-2, 185
"Alexander Volkov", 82, 6-10, 218
"Stojko Vrankovic", 86, 7-2, 260
"Darrell Walker", 76, 6-4, 180
"Spud Webb", 66, 5-6, 133
"Doug West", 78, 6-6, 200
"Mark West", 82, 6-10, 230
"Ennis Whatley", 75, 6-3, 177
"Randy White", 80, 6-8, 240
"Mitchell Wiggins", 76, 6-4, 185
"Morlon Wiley", 76, 6-4, 185
"Dominique Wilkins", 79, 6-7, 200
"Gerald Wilkins", 78, 6-6, 185
"Buck Williams", 80, 6-8, 215
"Herb Williams", 82, 6-10, 242
"Hot Rod Williams", 83, 6-11, 215
"Jayson Williams", 81, 6-9, 240
"Kenny Williams", 81, 6-9, 205
"Micheal Williams", 74, 6-2, 175
"Reggie Williams", 79, 6-7, 190
"Scott Williams", 82, 6-10, 230
"Kevin Willis", 84, 7-0, 220
"Kennard Winchester", 77, 6-5, 210
"David Wingate", 77, 6-5, 185
"Randy Wittman", 78, 6-6, 210
"Joe Wolf", 83, 6-11, 230
"Orlando Woolridge", 81, 6-9, 215
"James Worthy", 81, 6-9, 225
"Danny Young", 75, 6-3, 175
